epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 2380, loss = 356.520, wins per 10: 8, avg checkers diff: 6.2
epoch: 2390, loss = 154.945, wins per 10: 6, avg checkers diff: 6.5
epoch: 2400, loss = 313.522, wins per 100: 77, avg checkers diff: 8.19
finished testing: 76.0 %
epoch: 2410, loss = 248.772, wins per 10: 6, avg checkers diff: 2.9
epoch: 2420, loss = 166.237, wins per 10: 7, avg checkers diff: 5.5
epoch: 2430, loss = 325.247, wins per 10: 8, avg checkers diff: 9.0
epoch: 2440, loss = 336.894, wins per 10: 9, avg checkers diff: 9.2
epoch: 2450, loss = 226.071, wins per 10: 4, avg checkers diff: -0.1
epoch: 2460, loss = 276.645, wins per 10: 8, avg checkers diff: 10.7
epoch: 2470, loss = 142.920, wins per 10: 10, avg checkers diff: 13.2
epoch: 2480, loss = 155.722, wins per 10: 9, avg checkers diff: 9.4
epoch: 2490, loss = 276.288, wins per 10: 9, avg checkers diff: 11.6
epoch: 2500, loss = 107.335, wins per 100: 79, avg checkers diff: 8.19
epoch: 2510, loss = 270.171, wins per 10: 10, avg checkers diff: 13.3
epoch: 2520, loss = 193.262, wins per 10: 9, avg checkers diff: 12.6
epoch: 2530, loss = 158.432, wins per 10: 6, avg checkers diff: 4.9
epoch: 2540, loss = 132.169, wins per 10: 8, avg checkers diff: 7.1
epoch: 2550, loss = 362.231, wins per 10: 6, avg checkers diff: 5.3
epoch: 2560, loss = 286.270, wins per 10: 8, avg checkers diff: 7.4
epoch: 2570, loss = 126.589, wins per 10: 6, avg checkers diff: 2.3
epoch: 2580, loss = 239.386, wins per 10: 5, avg checkers diff: 3.6
epoch: 2590, loss = 195.524, wins per 10: 7, avg checkers diff: 6.6
epoch: 2600, loss = 277.581, wins per 100: 72, avg checkers diff: 6.95
finished testing: 78.0 %
epoch: 2610, loss = 170.073, wins per 10: 6, avg checkers diff: 3.7
epoch: 2620, loss = 155.338, wins per 10: 6, avg checkers diff: 6.1
epoch: 2630, loss = 272.926, wins per 10: 9, avg checkers diff: 11.4
epoch: 2640, loss = 174.191, wins per 10: 8, avg checkers diff: 8.9
epoch: 2650, loss = 97.054, wins per 10: 9, avg checkers diff: 9.7
epoch: 2660, loss = 179.693, wins per 10: 9, avg checkers diff: 11.6
epoch: 2670, loss = 94.578, wins per 10: 5, avg checkers diff: 0.5
epoch: 2680, loss = 175.129, wins per 10: 9, avg checkers diff: 7.9
epoch: 2690, loss = 317.385, wins per 10: 7, avg checkers diff: 4.1
epoch: 2700, loss = 201.293, wins per 100: 74, avg checkers diff: 6.88
epoch: 2710, loss = 204.856, wins per 10: 8, avg checkers diff: 8.3
epoch: 2720, loss = 246.977, wins per 10: 8, avg checkers diff: 5.2
epoch: 2730, loss = 153.949, wins per 10: 8, avg checkers diff: 10.1
epoch: 2740, loss = 130.882, wins per 10: 9, avg checkers diff: 12.2
epoch: 2750, loss = 296.442, wins per 10: 8, avg checkers diff: 10.0
epoch: 2760, loss = 227.546, wins per 10: 9, avg checkers diff: 10.1
epoch: 2770, loss = 145.336, wins per 10: 8, avg checkers diff: 8.4
epoch: 2780, loss = 224.473, wins per 10: 9, avg checkers diff: 10.6
epoch: 2790, loss = 323.005, wins per 10: 9, avg checkers diff: 7.9
epoch: 2800, loss = 249.484, wins per 100: 83, avg checkers diff: 8.68
finished testing: 70.0 %
epoch: 2810, loss = 84.122, wins per 10: 7, avg checkers diff: 6.6
epoch: 2820, loss = 291.450, wins per 10: 7, avg checkers diff: 2.6
epoch: 2830, loss = 212.081, wins per 10: 6, avg checkers diff: 1.6
epoch: 2840, loss = 199.885, wins per 10: 8, avg checkers diff: 8.1
epoch: 2850, loss = 321.257, wins per 10: 7, avg checkers diff: 4.3
epoch: 2860, loss = 195.836, wins per 10: 6, avg checkers diff: 5.8
epoch: 2870, loss = 108.010, wins per 10: 9, avg checkers diff: 8.4
epoch: 2880, loss = 382.378, wins per 10: 7, avg checkers diff: 4.5
epoch: 2890, loss = 139.186, wins per 10: 9, avg checkers diff: 9.7
epoch: 2900, loss = 120.168, wins per 100: 73, avg checkers diff: 5.68
epoch: 2910, loss = 142.276, wins per 10: 5, avg checkers diff: 3.4
epoch: 2920, loss = 217.213, wins per 10: 9, avg checkers diff: 10.1
epoch: 2930, loss = 426.491, wins per 10: 6, avg checkers diff: 3.8
epoch: 2940, loss = 129.258, wins per 10: 9, avg checkers diff: 9.6
epoch: 2950, loss = 143.300, wins per 10: 7, avg checkers diff: 4.0
epoch: 2960, loss = 322.159, wins per 10: 7, avg checkers diff: 5.3
epoch: 2970, loss = 326.548, wins per 10: 6, avg checkers diff: 4.4
epoch: 2980, loss = 252.536, wins per 10: 9, avg checkers diff: 9.6
epoch: 2990, loss = 217.852, wins per 10: 8, avg checkers diff: 9.1
epoch: 3000, loss = 378.158, wins per 100: 71, avg checkers diff: 5.89
finished testing: 73.0 %
saved checkpoint
epoch: 3010, loss = 926.373, wins per 10: 9, avg checkers diff: 12.6
epoch: 3020, loss = 965.572, wins per 10: 7, avg checkers diff: 6.7
epoch: 3030, loss = 307.167, wins per 10: 9, avg checkers diff: 7.4
epoch: 3040, loss = 131.174, wins per 10: 9, avg checkers diff: 8.4
epoch: 3050, loss = 210.814, wins per 10: 7, avg checkers diff: 7.6
epoch: 3060, loss = 146.260, wins per 10: 8, avg checkers diff: 9.6
epoch: 3070, loss = 334.452, wins per 10: 8, avg checkers diff: 8.7
epoch: 3080, loss = 284.822, wins per 10: 8, avg checkers diff: 8.3
epoch: 3090, loss = 200.918, wins per 10: 9, avg checkers diff: 11.1
epoch: 3100, loss = 423.246, wins per 100: 81, avg checkers diff: 8.41
epoch: 3110, loss = 569.319, wins per 10: 7, avg checkers diff: 4.0
epoch: 3120, loss = 439.702, wins per 10: 8, avg checkers diff: 6.9
epoch: 3130, loss = 255.820, wins per 10: 9, avg checkers diff: 9.8
epoch: 3140, loss = 306.491, wins per 10: 9, avg checkers diff: 9.7
epoch: 3150, loss = 164.845, wins per 10: 10, avg checkers diff: 9.9
epoch: 3160, loss = 289.981, wins per 10: 9, avg checkers diff: 12.2
