epoch: 10, wins per 10: 9, avg checkers diff: 10.5
epoch: 2440, loss = 1.724, wins per 10: 6, avg checkers diff: 5.7
epoch: 2450, loss = 3.326, wins per 10: 9, avg checkers diff: 6.8
epoch: 2460, loss = 2.373, wins per 10: 3, avg checkers diff: -1.9
epoch: 2470, loss = 3.109, wins per 10: 6, avg checkers diff: 4.8
epoch: 2480, loss = 2.077, wins per 10: 8, avg checkers diff: 7.5
epoch: 2490, loss = 2.488, wins per 10: 8, avg checkers diff: 8.7
epoch: 2500, loss = 1.823, wins per 100: 75, avg checkers diff: 6.8
epoch: 2510, loss = 1.980, wins per 10: 9, avg checkers diff: 7.6
epoch: 2520, loss = 3.086, wins per 10: 8, avg checkers diff: 7.6
epoch: 2530, loss = 3.775, wins per 10: 9, avg checkers diff: 11.0
epoch: 2540, loss = 2.578, wins per 10: 6, avg checkers diff: 4.3
epoch: 2550, loss = 2.128, wins per 10: 8, avg checkers diff: 8.5
epoch: 2560, loss = 5.795, wins per 10: 6, avg checkers diff: 2.2
epoch: 2570, loss = 5.290, wins per 10: 7, avg checkers diff: 5.2
epoch: 2580, loss = 3.088, wins per 10: 9, avg checkers diff: 8.3
epoch: 2590, loss = 4.597, wins per 10: 6, avg checkers diff: 3.0
epoch: 2600, loss = 3.183, wins per 100: 78, avg checkers diff: 6.84
finished testing: 75.0 %
epoch: 2610, loss = 5.933, wins per 10: 9, avg checkers diff: 11.5
epoch: 2620, loss = 3.293, wins per 10: 6, avg checkers diff: 1.9
epoch: 2630, loss = 2.170, wins per 10: 8, avg checkers diff: 5.4
epoch: 2640, loss = 3.297, wins per 10: 7, avg checkers diff: 4.6
epoch: 2650, loss = 2.378, wins per 10: 8, avg checkers diff: 8.3
epoch: 2660, loss = 2.144, wins per 10: 7, avg checkers diff: 6.5
epoch: 2670, loss = 2.677, wins per 10: 7, avg checkers diff: 6.9
epoch: 2680, loss = 2.311, wins per 10: 8, avg checkers diff: 9.6
epoch: 2690, loss = 1.314, wins per 10: 5, avg checkers diff: 2.0
epoch: 2700, loss = 2.239, wins per 100: 72, avg checkers diff: 6.11
epoch: 2710, loss = 2.786, wins per 10: 7, avg checkers diff: 5.9
epoch: 2720, loss = 1.265, wins per 10: 7, avg checkers diff: 3.9
epoch: 2730, loss = 2.978, wins per 10: 9, avg checkers diff: 8.4
epoch: 2740, loss = 1.669, wins per 10: 8, avg checkers diff: 6.9
epoch: 2750, loss = 3.460, wins per 10: 7, avg checkers diff: 3.2
epoch: 2760, loss = 2.325, wins per 10: 9, avg checkers diff: 11.5
epoch: 2770, loss = 1.999, wins per 10: 6, avg checkers diff: 2.7
epoch: 2780, loss = 3.007, wins per 10: 8, avg checkers diff: 9.1
epoch: 2790, loss = 2.702, wins per 10: 6, avg checkers diff: 3.5
epoch: 2800, loss = 2.849, wins per 100: 77, avg checkers diff: 6.77
finished testing: 74.0 %
epoch: 2810, loss = 2.947, wins per 10: 5, avg checkers diff: -2.0
epoch: 2820, loss = 3.844, wins per 10: 7, avg checkers diff: 4.3
epoch: 2830, loss = 2.526, wins per 10: 8, avg checkers diff: 9.6
epoch: 2840, loss = 3.655, wins per 10: 7, avg checkers diff: 5.6
epoch: 2850, loss = 5.167, wins per 10: 3, avg checkers diff: -3.3
epoch: 2860, loss = 4.137, wins per 10: 7, avg checkers diff: 6.1
epoch: 2870, loss = 3.107, wins per 10: 6, avg checkers diff: 4.3
epoch: 2880, loss = 3.593, wins per 10: 9, avg checkers diff: 9.9
epoch: 2890, loss = 4.976, wins per 10: 9, avg checkers diff: 10.2
epoch: 2900, loss = 6.417, wins per 100: 64, avg checkers diff: 4.24
epoch: 2910, loss = 4.584, wins per 10: 8, avg checkers diff: 6.1
epoch: 2920, loss = 2.164, wins per 10: 7, avg checkers diff: 5.5
epoch: 2930, loss = 9.706, wins per 10: 3, avg checkers diff: -4.9
epoch: 2940, loss = 2.229, wins per 10: 6, avg checkers diff: 4.0
epoch: 2950, loss = 1.770, wins per 10: 7, avg checkers diff: 4.7
epoch: 2960, loss = 4.012, wins per 10: 8, avg checkers diff: 7.6
epoch: 2970, loss = 3.079, wins per 10: 6, avg checkers diff: 5.1
epoch: 2980, loss = 2.941, wins per 10: 7, avg checkers diff: 5.7
