epoch: 3580, loss = 3.674, wins per 10: 1, avg checkers diff: -8.0
epoch: 3590, loss = 4.290, wins per 10: 3, avg checkers diff: -6.0
epoch: 3600, loss = 9.888, wins per 100: 24, avg checkers diff: -6.26
finished testing: 33.0 %
epoch: 3610, loss = 7.272, wins per 10: 3, avg checkers diff: -4.1
epoch: 3620, loss = 3.212, wins per 10: 4, avg checkers diff: -1.7
epoch: 3630, loss = 3.725, wins per 10: 5, avg checkers diff: -0.4
epoch: 3640, loss = 7.781, wins per 10: 3, avg checkers diff: -1.2
epoch: 3650, loss = 2.458, wins per 10: 2, avg checkers diff: -8.2
epoch: 3660, loss = 2.458, wins per 10: 5, avg checkers diff: -1.9
epoch: 3670, loss = 3.935, wins per 10: 1, avg checkers diff: -10.8
epoch: 3680, loss = 4.088, wins per 10: 3, avg checkers diff: -2.8
epoch: 3690, loss = 4.110, wins per 10: 1, avg checkers diff: -8.5
epoch: 3700, loss = 3.594, wins per 100: 30, avg checkers diff: -4.43
epoch: 3710, loss = 4.733, wins per 10: 2, avg checkers diff: -6.2
epoch: 3720, loss = 5.355, wins per 10: 0, avg checkers diff: -8.6
epoch: 3730, loss = 5.632, wins per 10: 1, avg checkers diff: -8.5
epoch: 3740, loss = 4.219, wins per 10: 4, avg checkers diff: -5.5
epoch: 3750, loss = 4.499, wins per 10: 1, avg checkers diff: -11.2
epoch: 3760, loss = 8.426, wins per 10: 3, avg checkers diff: -3.4
epoch: 3770, loss = 8.964, wins per 10: 3, avg checkers diff: -5.0
epoch: 3780, loss = 7.595, wins per 10: 6, avg checkers diff: 4.4
epoch: 3790, loss = 7.100, wins per 10: 1, avg checkers diff: -10.5
epoch: 3800, loss = 2.694, wins per 100: 24, avg checkers diff: -5.91
finished testing: 34.0 %
epoch: 3810, loss = 2.778, wins per 10: 2, avg checkers diff: -6.9
epoch: 3820, loss = 13.778, wins per 10: 5, avg checkers diff: -1.2
epoch: 3830, loss = 1.812, wins per 10: 4, avg checkers diff: -3.2
epoch: 3840, loss = 6.634, wins per 10: 4, avg checkers diff: -4.1
epoch: 3850, loss = 3.276, wins per 10: 0, avg checkers diff: -12.4
epoch: 3860, loss = 8.979, wins per 10: 3, avg checkers diff: -4.7
